,year,city,avg_temp
6367,1796,Bangalore,24.49
6368,1797,Bangalore,25.18
6369,1798,Bangalore,24.65
6370,1799,Bangalore,24.81
6371,1800,Bangalore,24.85
6372,1801,Bangalore,24.49
6373,1802,Bangalore,25.44
6374,1803,Bangalore,25.22
6375,1804,Bangalore,25.67
6376,1805,Bangalore,25.01
6377,1806,Bangalore,24.87
6378,1807,Bangalore,24.25
6379,1808,Bangalore,24.25
6380,1809,Bangalore,24.25
6381,1810,Bangalore,24.25
6382,1811,Bangalore,24.25
6383,1812,Bangalore,24.25
6384,1813,Bangalore,24.23
6385,1814,Bangalore,23.91
6386,1815,Bangalore,23.79
6387,1816,Bangalore,23.3
6388,1817,Bangalore,23.6
6389,1818,Bangalore,23.94
6390,1819,Bangalore,23.86
6391,1820,Bangalore,23.91
6392,1821,Bangalore,24.4
6393,1822,Bangalore,24.33
6394,1823,Bangalore,24.62
6395,1824,Bangalore,25.1
6396,1825,Bangalore,24.69
6397,1826,Bangalore,24.88
6398,1827,Bangalore,24.67
6399,1828,Bangalore,24.61
6400,1829,Bangalore,24.46
6401,1830,Bangalore,24.39
6402,1831,Bangalore,24.43
6403,1832,Bangalore,24.66
6404,1833,Bangalore,24.46
6405,1834,Bangalore,24.59
6406,1835,Bangalore,23.89
6407,1836,Bangalore,24.12
6408,1837,Bangalore,24.13
6409,1838,Bangalore,24.29
6410,1839,Bangalore,24.24
6411,1840,Bangalore,24.24
6412,1841,Bangalore,24.05
6413,1842,Bangalore,24.22
6414,1843,Bangalore,23.99
6415,1844,Bangalore,24.23
6416,1845,Bangalore,24.46
6417,1846,Bangalore,24.9
6418,1847,Bangalore,24.35
6419,1848,Bangalore,24.35
6420,1849,Bangalore,24.32
6421,1850,Bangalore,24.38
6422,1851,Bangalore,24.45
6423,1852,Bangalore,24.43
6424,1853,Bangalore,24.67
6425,1854,Bangalore,24.73
6426,1855,Bangalore,24.75
6427,1856,Bangalore,24.21
6428,1857,Bangalore,23.87
6429,1858,Bangalore,24.59
6430,1859,Bangalore,24.55
6431,1860,Bangalore,24.41
6432,1861,Bangalore,24.21
6433,1862,Bangalore,23.59
6434,1863,Bangalore,23.59
6435,1864,Bangalore,23.59
6436,1865,Bangalore,25.06
6437,1866,Bangalore,25.0
6438,1867,Bangalore,24.96
6439,1868,Bangalore,25.07
6440,1869,Bangalore,24.92
6441,1870,Bangalore,24.42
6442,1871,Bangalore,24.47
6443,1872,Bangalore,24.48
6444,1873,Bangalore,24.51
6445,1874,Bangalore,24.56
6446,1875,Bangalore,24.64
6447,1876,Bangalore,24.84
6448,1877,Bangalore,25.23
6449,1878,Bangalore,25.15
6450,1879,Bangalore,24.39
6451,1880,Bangalore,24.58
6452,1881,Bangalore,24.76
6453,1882,Bangalore,24.33
6454,1883,Bangalore,24.25
6455,1884,Bangalore,24.35
6456,1885,Bangalore,24.62
6457,1886,Bangalore,24.53
6458,1887,Bangalore,24.31
6459,1888,Bangalore,24.63
6460,1889,Bangalore,24.73
6461,1890,Bangalore,24.46
6462,1891,Bangalore,24.95
6463,1892,Bangalore,24.59
6464,1893,Bangalore,24.38
6465,1894,Bangalore,24.75
6466,1895,Bangalore,24.78
6467,1896,Bangalore,25.12
6468,1897,Bangalore,25.3
6469,1898,Bangalore,24.87
6470,1899,Bangalore,24.74
6471,1900,Bangalore,25.44
6472,1901,Bangalore,25.09
6473,1902,Bangalore,25.06
6474,1903,Bangalore,24.82
6475,1904,Bangalore,24.53
6476,1905,Bangalore,24.92
6477,1906,Bangalore,25.09
6478,1907,Bangalore,24.74
6479,1908,Bangalore,24.66
6480,1909,Bangalore,24.61
6481,1910,Bangalore,24.42
6482,1911,Bangalore,24.76
6483,1912,Bangalore,25.0
6484,1913,Bangalore,25.0
6485,1914,Bangalore,25.02
6486,1915,Bangalore,25.22
6487,1916,Bangalore,24.75
6488,1917,Bangalore,24.46
6489,1918,Bangalore,24.74
6490,1919,Bangalore,25.06
6491,1920,Bangalore,24.99
6492,1921,Bangalore,24.88
6493,1922,Bangalore,24.74
6494,1923,Bangalore,24.84
6495,1924,Bangalore,24.89
6496,1925,Bangalore,24.69
6497,1926,Bangalore,25.14
6498,1927,Bangalore,25.06
6499,1928,Bangalore,25.06
6500,1929,Bangalore,24.87
6501,1930,Bangalore,24.86
6502,1931,Bangalore,25.24
6503,1932,Bangalore,24.68
6504,1933,Bangalore,24.61
6505,1934,Bangalore,24.81
6506,1935,Bangalore,24.93
6507,1936,Bangalore,24.99
6508,1937,Bangalore,24.96
6509,1938,Bangalore,24.91
6510,1939,Bangalore,24.84
6511,1940,Bangalore,24.92
6512,1941,Bangalore,25.55
6513,1942,Bangalore,25.23
6514,1943,Bangalore,24.69
6515,1944,Bangalore,24.92
6516,1945,Bangalore,25.05
6517,1946,Bangalore,24.97
6518,1947,Bangalore,25.02
6519,1948,Bangalore,25.21
6520,1949,Bangalore,24.92
6521,1950,Bangalore,24.85
6522,1951,Bangalore,25.03
6523,1952,Bangalore,25.12
6524,1953,Bangalore,25.18
6525,1954,Bangalore,24.92
6526,1955,Bangalore,24.78
6527,1956,Bangalore,24.73
6528,1957,Bangalore,25.11
6529,1958,Bangalore,25.29
6530,1959,Bangalore,25.24
6531,1960,Bangalore,25.07
6532,1961,Bangalore,24.97
6533,1962,Bangalore,24.9
6534,1963,Bangalore,25.04
6535,1964,Bangalore,25.09
6536,1965,Bangalore,25.04
6537,1966,Bangalore,25.32
6538,1967,Bangalore,24.87
6539,1968,Bangalore,25.0
6540,1969,Bangalore,25.36
6541,1970,Bangalore,24.95
6542,1971,Bangalore,24.74
6543,1972,Bangalore,25.22
6544,1973,Bangalore,25.4
6545,1974,Bangalore,24.94
6546,1975,Bangalore,24.86
6547,1976,Bangalore,25.13
6548,1977,Bangalore,25.2
6549,1978,Bangalore,25.07
6550,1979,Bangalore,25.44
6551,1980,Bangalore,25.45
6552,1981,Bangalore,25.17
6553,1982,Bangalore,25.42
6554,1983,Bangalore,25.59
6555,1984,Bangalore,25.08
6556,1985,Bangalore,25.31
6557,1986,Bangalore,25.51
6558,1987,Bangalore,25.81
6559,1988,Bangalore,25.5
6560,1989,Bangalore,25.2
6561,1990,Bangalore,25.25
6562,1991,Bangalore,25.49
6563,1992,Bangalore,25.16
6564,1993,Bangalore,25.22
6565,1994,Bangalore,25.22
6566,1995,Bangalore,25.44
6567,1996,Bangalore,25.41
6568,1997,Bangalore,25.68
6569,1998,Bangalore,26.01
6570,1999,Bangalore,25.29
6571,2000,Bangalore,25.34
6572,2001,Bangalore,25.53
6573,2002,Bangalore,25.76
6574,2003,Bangalore,25.92
6575,2004,Bangalore,25.25
6576,2005,Bangalore,25.48
6577,2006,Bangalore,25.42
6578,2007,Bangalore,25.46
6579,2008,Bangalore,25.35
6580,2009,Bangalore,25.73
6581,2010,Bangalore,25.71
6582,2011,Bangalore,25.36
6583,2012,Bangalore,26.04
6584,2013,Bangalore,26.61
