,year,city,avg_temp
0,1796,Bangalore,24.49
1,1797,Bangalore,25.18
2,1798,Bangalore,24.65
3,1799,Bangalore,24.81
4,1800,Bangalore,24.85
5,1801,Bangalore,24.49
6,1802,Bangalore,25.44
7,1803,Bangalore,25.22
8,1804,Bangalore,25.67
9,1805,Bangalore,25.01
10,1806,Bangalore,24.87
11,1807,Bangalore,24.25
12,1808,Bangalore,24.25
13,1809,Bangalore,24.25
14,1810,Bangalore,24.25
15,1811,Bangalore,24.25
16,1812,Bangalore,24.25
17,1813,Bangalore,24.23
18,1814,Bangalore,23.91
19,1815,Bangalore,23.79
20,1816,Bangalore,23.3
21,1817,Bangalore,23.6
22,1818,Bangalore,23.94
23,1819,Bangalore,23.86
24,1820,Bangalore,23.91
25,1821,Bangalore,24.4
26,1822,Bangalore,24.33
27,1823,Bangalore,24.62
28,1824,Bangalore,25.1
29,1825,Bangalore,24.69
30,1826,Bangalore,24.88
31,1827,Bangalore,24.67
32,1828,Bangalore,24.61
33,1829,Bangalore,24.46
34,1830,Bangalore,24.39
35,1831,Bangalore,24.43
36,1832,Bangalore,24.66
37,1833,Bangalore,24.46
38,1834,Bangalore,24.59
39,1835,Bangalore,23.89
40,1836,Bangalore,24.12
41,1837,Bangalore,24.13
42,1838,Bangalore,24.29
43,1839,Bangalore,24.24
44,1840,Bangalore,24.24
45,1841,Bangalore,24.05
46,1842,Bangalore,24.22
47,1843,Bangalore,23.99
48,1844,Bangalore,24.23
49,1845,Bangalore,24.46
50,1846,Bangalore,24.9
51,1847,Bangalore,24.35
52,1848,Bangalore,24.35
53,1849,Bangalore,24.32
54,1850,Bangalore,24.38
55,1851,Bangalore,24.45
56,1852,Bangalore,24.43
57,1853,Bangalore,24.67
58,1854,Bangalore,24.73
59,1855,Bangalore,24.75
60,1856,Bangalore,24.21
61,1857,Bangalore,23.87
62,1858,Bangalore,24.59
63,1859,Bangalore,24.55
64,1860,Bangalore,24.41
65,1861,Bangalore,24.21
66,1862,Bangalore,23.59
67,1863,Bangalore,23.59
68,1864,Bangalore,23.59
69,1865,Bangalore,25.06
70,1866,Bangalore,25.0
71,1867,Bangalore,24.96
72,1868,Bangalore,25.07
73,1869,Bangalore,24.92
74,1870,Bangalore,24.42
75,1871,Bangalore,24.47
76,1872,Bangalore,24.48
77,1873,Bangalore,24.51
78,1874,Bangalore,24.56
79,1875,Bangalore,24.64
80,1876,Bangalore,24.84
81,1877,Bangalore,25.23
82,1878,Bangalore,25.15
83,1879,Bangalore,24.39
84,1880,Bangalore,24.58
85,1881,Bangalore,24.76
86,1882,Bangalore,24.33
87,1883,Bangalore,24.25
88,1884,Bangalore,24.35
89,1885,Bangalore,24.62
90,1886,Bangalore,24.53
91,1887,Bangalore,24.31
92,1888,Bangalore,24.63
93,1889,Bangalore,24.73
94,1890,Bangalore,24.46
95,1891,Bangalore,24.95
96,1892,Bangalore,24.59
97,1893,Bangalore,24.38
98,1894,Bangalore,24.75
99,1895,Bangalore,24.78
100,1896,Bangalore,25.12
101,1897,Bangalore,25.3
102,1898,Bangalore,24.87
103,1899,Bangalore,24.74
104,1900,Bangalore,25.44
105,1901,Bangalore,25.09
106,1902,Bangalore,25.06
107,1903,Bangalore,24.82
108,1904,Bangalore,24.53
109,1905,Bangalore,24.92
110,1906,Bangalore,25.09
111,1907,Bangalore,24.74
112,1908,Bangalore,24.66
113,1909,Bangalore,24.61
114,1910,Bangalore,24.42
115,1911,Bangalore,24.76
116,1912,Bangalore,25.0
117,1913,Bangalore,25.0
118,1914,Bangalore,25.02
119,1915,Bangalore,25.22
120,1916,Bangalore,24.75
121,1917,Bangalore,24.46
122,1918,Bangalore,24.74
123,1919,Bangalore,25.06
124,1920,Bangalore,24.99
125,1921,Bangalore,24.88
126,1922,Bangalore,24.74
127,1923,Bangalore,24.84
128,1924,Bangalore,24.89
129,1925,Bangalore,24.69
130,1926,Bangalore,25.14
131,1927,Bangalore,25.06
132,1928,Bangalore,25.06
133,1929,Bangalore,24.87
134,1930,Bangalore,24.86
135,1931,Bangalore,25.24
136,1932,Bangalore,24.68
